id,subdivision,month,month_num,rainfall_mm,slope_deg,soil_index
1,Mandi Sadar,Jan,1,48.6,30.4,0.585
2,Mandi Sadar,Feb,2,72.9,31.16,0.6006
3,Mandi Sadar,Mar,3,105.3,32.3,0.624
4,Mandi Sadar,Apr,4,89.1,33.44,0.6474
5,Mandi Sadar,May,5,97.2,34.96,0.6786
6,Mandi Sadar,Jun,6,178.2,39.9,0.819
7,Mandi Sadar,Jul,7,315.9,44.84,0.9516
8,Mandi Sadar,Aug,8,299.7,45.6,0.936
9,Mandi Sadar,Sep,9,178.2,41.8,0.8424
10,Mandi Sadar,Oct,10,105.3,36.1,0.7176
11,Mandi Sadar,Nov,11,64.8,32.3,0.6396
12,Mandi Sadar,Dec,12,64.8,30.4,0.5928
13,Sundernagar,Jan,1,44.4,25.6,0.5325
14,Sundernagar,Feb,2,66.6,26.24,0.5467
15,Sundernagar,Mar,3,96.2,27.2,0.568
16,Sundernagar,Apr,4,81.4,28.16,0.5893
17,Sundernagar,May,5,88.8,29.44,0.6177
18,Sundernagar,Jun,6,162.8,33.6,0.7455
19,Sundernagar,Jul,7,288.6,37.76,0.8662
20,Sundernagar,Aug,8,273.8,38.4,0.852
21,Sundernagar,Sep,9,162.8,35.2,0.7668
22,Sundernagar,Oct,10,96.2,30.4,0.6532
23,Sundernagar,Nov,11,59.2,27.2,0.5822
24,Sundernagar,Dec,12,59.2,25.6,0.5396
25,Jogindernagar,Jan,1,55.5,38.4,0.6225
26,Jogindernagar,Feb,2,83.2,39.36,0.6391
27,Jogindernagar,Mar,3,120.2,40.8,0.664
28,Jogindernagar,Apr,4,101.8,42.24,0.6889
29,Jogindernagar,May,5,111.0,44.16,0.7221
30,Jogindernagar,Jun,6,203.5,50.4,0.8715
31,Jogindernagar,Jul,7,360.8,56.64,1.0
32,Jogindernagar,Aug,8,342.2,57.6,0.996
33,Jogindernagar,Sep,9,203.5,52.8,0.8964
34,Jogindernagar,Oct,10,120.2,45.6,0.7636
35,Jogindernagar,Nov,11,74.0,40.8,0.6806
36,Jogindernagar,Dec,12,74.0,38.4,0.6308
37,Karsog,Jan,1,51.6,41.6,0.6
38,Karsog,Feb,2,77.4,42.64,0.616
39,Karsog,Mar,3,111.8,44.2,0.64
40,Karsog,Apr,4,94.6,45.76,0.664
41,Karsog,May,5,103.2,47.84,0.696
42,Karsog,Jun,6,189.2,54.6,0.84
43,Karsog,Jul,7,335.4,61.36,0.976
44,Karsog,Aug,8,318.2,62.4,0.96
45,Karsog,Sep,9,189.2,57.2,0.864
46,Karsog,Oct,10,111.8,49.4,0.736
47,Karsog,Nov,11,68.8,44.2,0.656
48,Karsog,Dec,12,68.8,41.6,0.608
49,Chachyot,Jan,1,46.8,35.2,0.57
50,Chachyot,Feb,2,70.2,36.08,0.5852
51,Chachyot,Mar,3,101.4,37.4,0.608
52,Chachyot,Apr,4,85.8,38.72,0.6308
53,Chachyot,May,5,93.6,40.48,0.6612
54,Chachyot,Jun,6,171.6,46.2,0.798
55,Chachyot,Jul,7,304.2,51.92,0.9272
56,Chachyot,Aug,8,288.6,52.8,0.912
57,Chachyot,Sep,9,171.6,48.4,0.8208
58,Chachyot,Oct,10,101.4,41.8,0.6992
59,Chachyot,Nov,11,62.4,37.4,0.6232
60,Chachyot,Dec,12,62.4,35.2,0.5776
61,Balh,Jan,1,40.5,20.0,0.465
62,Balh,Feb,2,60.8,20.5,0.4774
63,Balh,Mar,3,87.8,21.25,0.496
64,Balh,Apr,4,74.2,22.0,0.5146
65,Balh,May,5,81.0,23.0,0.5394
66,Balh,Jun,6,148.5,26.25,0.651
67,Balh,Jul,7,263.2,29.5,0.7564
68,Balh,Aug,8,249.8,30.0,0.744
69,Balh,Sep,9,148.5,27.5,0.6696
70,Balh,Oct,10,87.8,23.75,0.5704
71,Balh,Nov,11,54.0,21.25,0.5084
72,Balh,Dec,12,54.0,20.0,0.4712
73,Sarkaghat,Jan,1,42.9,28.0,0.555
74,Sarkaghat,Feb,2,64.3,28.7,0.5698
75,Sarkaghat,Mar,3,93.0,29.75,0.592
76,Sarkaghat,Apr,4,78.7,30.8,0.6142
77,Sarkaghat,May,5,85.8,32.2,0.6438
78,Sarkaghat,Jun,6,157.3,36.75,0.777
79,Sarkaghat,Jul,7,278.9,41.3,0.9028
80,Sarkaghat,Aug,8,264.6,42.0,0.888
81,Sarkaghat,Sep,9,157.3,38.5,0.7992
82,Sarkaghat,Oct,10,93.0,33.25,0.6808
83,Sarkaghat,Nov,11,57.2,29.75,0.6068
84,Sarkaghat,Dec,12,57.2,28.0,0.5624
85,Padhar,Jan,1,50.4,36.8,0.5925
86,Padhar,Feb,2,75.6,37.72,0.6083
87,Padhar,Mar,3,109.2,39.1,0.632
88,Padhar,Apr,4,92.4,40.48,0.6557
